Total Lengths per Chromosome:
Chromosome: PYGN01006491.1, Total Length: 12493
Chromosome: PYGN01002839.1, Total Length: 31849
Chromosome: PYGN01013230.1, Total Length: 4798
Chromosome: PYGN01003936.1, Total Length: 73291
Chromosome: PYGN01020923.1, Total Length: 1440
Chromosome: PYGN01006653.1, Total Length: 15025
Chromosome: PYGN01006437.1, Total Length: 10553
Chromosome: PYGN01006931.1, Total Length: 7685
Chromosome: PYGN01020412.1, Total Length: 1284
Chromosome: PYGN01002991.1, Total Length: 8362
Chromosome: PYGN01018411.1, Total Length: 1465
Chromosome: PYGN01009262.1, Total Length: 8311
Chromosome: PYGN01000666.1, Total Length: 472827
Chromosome: PYGN01014292.1, Total Length: 5054
Chromosome: PYGN01023672.1, Total Length: 5957
Chromosome: PYGN01015162.1, Total Length: 4943
Chromosome: PYGN01013349.1, Total Length: 2959
Chromosome: PYGN01022376.1, Total Length: 1419
Chromosome: PYGN01024107.1, Total Length: 2023
Chromosome: PYGN01008699.1, Total Length: 5096
Chromosome: PYGN01023145.1, Total Length: 1208
Chromosome: PYGN01009679.1, Total Length: 5719
Chromosome: PYGN01018683.1, Total Length: 1510
Chromosome: PYGN01014913.1, Total Length: 4204
Chromosome: PYGN01022704.1, Total Length: 1087
Chromosome: PYGN01004809.1, Total Length: 20139
Chromosome: PYGN01009352.1, Total Length: 7300
Chromosome: PYGN01011761.1, Total Length: 4929
Chromosome: PYGN01013754.1, Total Length: 2322
Chromosome: PYGN01011646.1, Total Length: 5359
Chromosome: PYGN01011586.1, Total Length: 3273
Chromosome: PYGN01021032.1, Total Length: 1115
Chromosome: PYGN01015075.1, Total Length: 2509
Chromosome: PYGN01007544.1, Total Length: 5492
Chromosome: PYGN01003413.1, Total Length: 17154
Chromosome: PYGN01004115.1, Total Length: 23236
Chromosome: PYGN01000156.1, Total Length: 1025334
Chromosome: PYGN01011462.1, Total Length: 5585
Chromosome: PYGN01005273.1, Total Length: 18020
Chromosome: PYGN01007461.1, Total Length: 7089
Chromosome: PYGN01005155.1, Total Length: 12957
Chromosome: PYGN01017451.1, Total Length: 7151
Chromosome: PYGN01019144.1, Total Length: 1694
Chromosome: PYGN01005536.1, Total Length: 8167
Chromosome: PYGN01013779.1, Total Length: 3850
Chromosome: PYGN01024001.1, Total Length: 991
Chromosome: PYGN01000895.1, Total Length: 813181
Chromosome: PYGN01004744.1, Total Length: 13291
Chromosome: PYGN01008008.1, Total Length: 6163
Chromosome: PYGN01001566.1, Total Length: 328328
Chromosome: PYGN01001144.1, Total Length: 390820
Chromosome: PYGN01011800.1, Total Length: 5384
Chromosome: PYGN01001265.1, Total Length: 353208
Chromosome: PYGN01009110.1, Total Length: 10288
Chromosome: PYGN01005809.1, Total Length: 13730
Chromosome: PYGN01016927.1, Total Length: 3890
Chromosome: PYGN01022940.1, Total Length: 1488
Chromosome: PYGN01015114.1, Total Length: 3603
Chromosome: PYGN01012268.1, Total Length: 4217
Chromosome: PYGN01003568.1, Total Length: 23767
Chromosome: PYGN01015548.1, Total Length: 4526
Chromosome: PYGN01017891.1, Total Length: 2512
Chromosome: PYGN01015285.1, Total Length: 2731
Chromosome: PYGN01007407.1, Total Length: 10972
Chromosome: PYGN01017010.1, Total Length: 13513
Chromosome: PYGN01022171.1, Total Length: 4021
Chromosome: PYGN01020428.1, Total Length: 1081
Chromosome: PYGN01009292.1, Total Length: 6142
Chromosome: PYGN01022981.1, Total Length: 1100
Chromosome: PYGN01020398.1, Total Length: 959
Chromosome: PYGN01000972.1, Total Length: 366890
Chromosome: PYGN01018137.1, Total Length: 1687
Chromosome: PYGN01006314.1, Total Length: 5013
Chromosome: PYGN01021407.1, Total Length: 3726
Chromosome: PYGN01001816.1, Total Length: 42054
Chromosome: PYGN01016864.1, Total Length: 3938
Chromosome: PYGN01020696.1, Total Length: 1265
Chromosome: PYGN01010785.1, Total Length: 7872
Chromosome: PYGN01017220.1, Total Length: 3359
Chromosome: PYGN01013881.1, Total Length: 13422
Chromosome: PYGN01015383.1, Total Length: 1678
Chromosome: PYGN01009867.1, Total Length: 6994
Chromosome: PYGN01008150.1, Total Length: 4369
Chromosome: PYGN01022822.1, Total Length: 1101
Chromosome: PYGN01022699.1, Total Length: 1122
Chromosome: PYGN01024788.1, Total Length: 1507
Chromosome: PYGN01008683.1, Total Length: 10730
Chromosome: PYGN01010159.1, Total Length: 9845
Chromosome: PYGN01017458.1, Total Length: 1382
Chromosome: PYGN01012916.1, Total Length: 4205
Chromosome: PYGN01012154.1, Total Length: 7489
Chromosome: PYGN01000757.1, Total Length: 524595
Chromosome: PYGN01020361.1, Total Length: 1803
Chromosome: PYGN01015319.1, Total Length: 2963
Chromosome: PYGN01017896.1, Total Length: 988
Chromosome: PYGN01002331.1, Total Length: 39883
Chromosome: PYGN01000033.1, Total Length: 1907520
Chromosome: PYGN01001309.1, Total Length: 418529
Chromosome: PYGN01001197.1, Total Length: 626227
Chromosome: PYGN01020784.1, Total Length: 1489
Chromosome: PYGN01000417.1, Total Length: 757279
Chromosome: PYGN01020870.1, Total Length: 1523
Chromosome: PYGN01005168.1, Total Length: 13534
Chromosome: PYGN01007218.1, Total Length: 12363
Chromosome: PYGN01023326.1, Total Length: 1118
Chromosome: PYGN01000451.1, Total Length: 1003527
Chromosome: PYGN01001615.1, Total Length: 177996
Chromosome: PYGN01006727.1, Total Length: 12759
Chromosome: PYGN01003831.1, Total Length: 20467
Chromosome: PYGN01011928.1, Total Length: 6131
Chromosome: PYGN01006751.1, Total Length: 7326
Chromosome: PYGN01007406.1, Total Length: 8982
Chromosome: PYGN01012463.1, Total Length: 2974
Chromosome: PYGN01022648.1, Total Length: 1819
Chromosome: PYGN01022712.1, Total Length: 2244
Chromosome: PYGN01006339.1, Total Length: 12609
Chromosome: PYGN01013556.1, Total Length: 3508
Chromosome: PYGN01022901.1, Total Length: 1348
Chromosome: PYGN01006838.1, Total Length: 14347
Chromosome: PYGN01001824.1, Total Length: 150573
Chromosome: PYGN01011889.1, Total Length: 5681
Chromosome: PYGN01005014.1, Total Length: 7250
Chromosome: PYGN01020557.1, Total Length: 1503
Chromosome: PYGN01019161.1, Total Length: 4261
Chromosome: PYGN01003129.1, Total Length: 28716
Chromosome: PYGN01001694.1, Total Length: 156605
Chromosome: PYGN01007744.1, Total Length: 14832
Chromosome: PYGN01023467.1, Total Length: 1144
Chromosome: PYGN01013819.1, Total Length: 6390
Chromosome: PYGN01008837.1, Total Length: 8419
Chromosome: PYGN01018458.1, Total Length: 2004
Chromosome: PYGN01009293.1, Total Length: 3116
Chromosome: PYGN01010946.1, Total Length: 5575
Chromosome: PYGN01010953.1, Total Length: 6821
Chromosome: PYGN01017393.1, Total Length: 4987
Chromosome: PYGN01007732.1, Total Length: 12875
Chromosome: PYGN01007939.1, Total Length: 7563
Chromosome: PYGN01010014.1, Total Length: 3167
Chromosome: PYGN01003195.1, Total Length: 25946
Chromosome: PYGN01022004.1, Total Length: 5833
Chromosome: PYGN01000200.1, Total Length: 1361761
Chromosome: PYGN01002867.1, Total Length: 37243
Chromosome: PYGN01021524.1, Total Length: 1088
Chromosome: PYGN01005776.1, Total Length: 8223
Chromosome: PYGN01015947.1, Total Length: 4730
Chromosome: PYGN01013492.1, Total Length: 2997
Chromosome: PYGN01017298.1, Total Length: 3386
Chromosome: PYGN01003104.1, Total Length: 15029
Chromosome: PYGN01006372.1, Total Length: 7238
Chromosome: PYGN01006836.1, Total Length: 7684
Chromosome: PYGN01023268.1, Total Length: 4212
Chromosome: PYGN01012079.1, Total Length: 6271
Chromosome: PYGN01004044.1, Total Length: 20949
Chromosome: PYGN01003137.1, Total Length: 47319
Chromosome: PYGN01021041.1, Total Length: 4243
Chromosome: PYGN01024566.1, Total Length: 2300
Chromosome: PYGN01023623.1, Total Length: 1087
Chromosome: PYGN01007380.1, Total Length: 7991
Chromosome: PYGN01023604.1, Total Length: 2046
Chromosome: PYGN01023707.1, Total Length: 5314
Chromosome: PYGN01022887.1, Total Length: 1261
Chromosome: PYGN01009768.1, Total Length: 5091
Chromosome: PYGN01020753.1, Total Length: 1104
Chromosome: PYGN01024002.1, Total Length: 1341
Chromosome: PYGN01024197.1, Total Length: 1097
Chromosome: PYGN01003116.1, Total Length: 19418
Chromosome: PYGN01008001.1, Total Length: 5404
Chromosome: PYGN01016736.1, Total Length: 2635
Chromosome: PYGN01014547.1, Total Length: 3239
Chromosome: PYGN01017277.1, Total Length: 4075
Chromosome: PYGN01021706.1, Total Length: 1782
Chromosome: PYGN01024316.1, Total Length: 1264
Chromosome: PYGN01017409.1, Total Length: 4621
Chromosome: PYGN01007253.1, Total Length: 7781
Chromosome: PYGN01002658.1, Total Length: 75904
Chromosome: PYGN01020270.1, Total Length: 26085
Chromosome: PYGN01002255.1, Total Length: 132124
Chromosome: PYGN01005151.1, Total Length: 10168
Chromosome: PYGN01005579.1, Total Length: 17182
Chromosome: PYGN01004897.1, Total Length: 16882
Chromosome: PYGN01015164.1, Total Length: 4210
Chromosome: PYGN01003435.1, Total Length: 39666
Chromosome: PYGN01005681.1, Total Length: 7664
Chromosome: PYGN01002643.1, Total Length: 48766
Chromosome: PYGN01018305.1, Total Length: 1969
Chromosome: PYGN01000169.1, Total Length: 1519378
Chromosome: PYGN01023854.1, Total Length: 2462
Chromosome: PYGN01024237.1, Total Length: 2059
Chromosome: PYGN01019046.1, Total Length: 1068
Chromosome: PYGN01004905.1, Total Length: 20888
Chromosome: PYGN01023618.1, Total Length: 2567
Chromosome: PYGN01018764.1, Total Length: 1251
Chromosome: PYGN01021827.1, Total Length: 1708
Chromosome: PYGN01012751.1, Total Length: 3610
Chromosome: PYGN01019734.1, Total Length: 1375
Chromosome: PYGN01013211.1, Total Length: 3259
Chromosome: PYGN01009065.1, Total Length: 10374
Chromosome: PYGN01002594.1, Total Length: 59035
Chromosome: PYGN01023310.1, Total Length: 1568
Chromosome: PYGN01008581.1, Total Length: 6350
Chromosome: PYGN01003644.1, Total Length: 27403
Chromosome: PYGN01006690.1, Total Length: 11923
Chromosome: PYGN01001520.1, Total Length: 129381
Chromosome: PYGN01019880.1, Total Length: 1983
Chromosome: PYGN01011758.1, Total Length: 12392
Chromosome: PYGN01003410.1, Total Length: 12162
Chromosome: PYGN01002088.1, Total Length: 73029
Chromosome: PYGN01004337.1, Total Length: 29933
Chromosome: PYGN01012764.1, Total Length: 3564
Chromosome: PYGN01018134.1, Total Length: 1607
Chromosome: PYGN01005362.1, Total Length: 9022
Chromosome: PYGN01024180.1, Total Length: 1558
Chromosome: PYGN01016951.1, Total Length: 2956
Chromosome: PYGN01022286.1, Total Length: 1305
Chromosome: PYGN01017439.1, Total Length: 3255
Chromosome: PYGN01015418.1, Total Length: 3793
Chromosome: PYGN01007904.1, Total Length: 10975
Chromosome: PYGN01024306.1, Total Length: 5463
Chromosome: PYGN01002860.1, Total Length: 51448
Chromosome: PYGN01021515.1, Total Length: 1487
Chromosome: PYGN01000103.1, Total Length: 1873862
Chromosome: PYGN01010247.1, Total Length: 4344
Chromosome: PYGN01014835.1, Total Length: 3958
Chromosome: PYGN01002492.1, Total Length: 76996
Chromosome: PYGN01015732.1, Total Length: 4039
Chromosome: PYGN01016157.1, Total Length: 3297
Chromosome: PYGN01022867.1, Total Length: 1172
Chromosome: PYGN01020655.1, Total Length: 1240
Chromosome: PYGN01024692.1, Total Length: 1049
Chromosome: PYGN01020762.1, Total Length: 1215
Chromosome: PYGN01004351.1, Total Length: 58281
Chromosome: PYGN01017672.1, Total Length: 4312
Chromosome: PYGN01002036.1, Total Length: 131298
Chromosome: PYGN01010450.1, Total Length: 4951
Chromosome: PYGN01002312.1, Total Length: 75508
Chromosome: PYGN01022520.1, Total Length: 1245
Chromosome: PYGN01009390.1, Total Length: 7720
Chromosome: PYGN01003852.1, Total Length: 32480
Chromosome: PYGN01009632.1, Total Length: 10376
Chromosome: PYGN01016103.1, Total Length: 3235
Chromosome: PYGN01008736.1, Total Length: 6574
Chromosome: PYGN01008275.1, Total Length: 11076
Chromosome: PYGN01014877.1, Total Length: 3084
Chromosome: PYGN01009135.1, Total Length: 2995
Chromosome: PYGN01014855.1, Total Length: 3694
Chromosome: PYGN01003809.1, Total Length: 20041
Chromosome: PYGN01005399.1, Total Length: 10138
Chromosome: PYGN01007757.1, Total Length: 7374
Chromosome: PYGN01000392.1, Total Length: 680878
Chromosome: PYGN01008485.1, Total Length: 11894
Chromosome: PYGN01008730.1, Total Length: 6481
Chromosome: PYGN01005985.1, Total Length: 11540
Chromosome: PYGN01010202.1, Total Length: 4495
Chromosome: PYGN01015939.1, Total Length: 4233
Chromosome: PYGN01021247.1, Total Length: 2715
Chromosome: PYGN01013038.1, Total Length: 2920
Chromosome: PYGN01008872.1, Total Length: 7966
Chromosome: PYGN01007614.1, Total Length: 7883
Chromosome: PYGN01014318.1, Total Length: 3832
Chromosome: PYGN01011044.1, Total Length: 16679
Chromosome: PYGN01009779.1, Total Length: 6769
Chromosome: PYGN01001801.1, Total Length: 173263
Chromosome: PYGN01017699.1, Total Length: 2983
Chromosome: PYGN01001984.1, Total Length: 13056
Chromosome: PYGN01024115.1, Total Length: 1579
Chromosome: PYGN01000373.1, Total Length: 1274844
Chromosome: PYGN01005649.1, Total Length: 14141
Chromosome: PYGN01017525.1, Total Length: 8341
Chromosome: PYGN01011645.1, Total Length: 5986
Chromosome: PYGN01017230.1, Total Length: 5960
Chromosome: PYGN01016567.1, Total Length: 3784
Chromosome: PYGN01014347.1, Total Length: 3437
Chromosome: PYGN01009781.1, Total Length: 5641
Chromosome: PYGN01014701.1, Total Length: 3206
Chromosome: PYGN01021916.1, Total Length: 1278
Chromosome: PYGN01012178.1, Total Length: 3504
Chromosome: PYGN01014854.1, Total Length: 3388
Chromosome: PYGN01022638.1, Total Length: 1345
Chromosome: PYGN01015697.1, Total Length: 2782
Chromosome: PYGN01017654.1, Total Length: 3527
Chromosome: PYGN01017523.1, Total Length: 2775
Chromosome: PYGN01021938.1, Total Length: 6474
Chromosome: PYGN01006809.1, Total Length: 5304
Chromosome: PYGN01006388.1, Total Length: 13282
Chromosome: PYGN01015125.1, Total Length: 3833
Chromosome: PYGN01011903.1, Total Length: 4176
Chromosome: PYGN01023967.1, Total Length: 1647
Chromosome: PYGN01015329.1, Total Length: 5335
Chromosome: PYGN01023542.1, Total Length: 1574
Chromosome: PYGN01006484.1, Total Length: 7484
Chromosome: PYGN01001762.1, Total Length: 64285
Chromosome: PYGN01022492.1, Total Length: 1362
Chromosome: PYGN01022127.1, Total Length: 5824
Chromosome: PYGN01004321.1, Total Length: 19439
Chromosome: PYGN01008761.1, Total Length: 10728
Chromosome: PYGN01007496.1, Total Length: 8813
Chromosome: PYGN01001257.1, Total Length: 510047
Chromosome: PYGN01024049.1, Total Length: 1264
Chromosome: PYGN01001228.1, Total Length: 195494
Chromosome: PYGN01000552.1, Total Length: 948949
Chromosome: PYGN01004134.1, Total Length: 14390
Chromosome: PYGN01012460.1, Total Length: 3372
Chromosome: PYGN01000772.1, Total Length: 620766
Chromosome: PYGN01021782.1, Total Length: 1706
Chromosome: PYGN01016590.1, Total Length: 4018
Chromosome: PYGN01001079.1, Total Length: 638974
Chromosome: PYGN01022943.1, Total Length: 1456
Chromosome: PYGN01012283.1, Total Length: 6208
Chromosome: PYGN01019061.1, Total Length: 1399
Chromosome: PYGN01016896.1, Total Length: 3729
Chromosome: PYGN01003890.1, Total Length: 21775
Chromosome: PYGN01004880.1, Total Length: 15396
Chromosome: PYGN01017477.1, Total Length: 3290
Chromosome: PYGN01015001.1, Total Length: 3229
Chromosome: PYGN01021444.1, Total Length: 3787
Chromosome: PYGN01022914.1, Total Length: 1405
Chromosome: PYGN01010478.1, Total Length: 3907
Chromosome: PYGN01012461.1, Total Length: 4024
Chromosome: PYGN01018759.1, Total Length: 1196
Chromosome: PYGN01008891.1, Total Length: 11358
Chromosome: PYGN01013253.1, Total Length: 2896
Chromosome: PYGN01021338.1, Total Length: 9354
Chromosome: PYGN01004416.1, Total Length: 13310
Chromosome: PYGN01007464.1, Total Length: 7377
Chromosome: PYGN01001374.1, Total Length: 173012
Chromosome: PYGN01011545.1, Total Length: 12328
Chromosome: PYGN01001783.1, Total Length: 120921
Chromosome: PYGN01018348.1, Total Length: 2294
Chromosome: PYGN01018334.1, Total Length: 1185
Chromosome: PYGN01012438.1, Total Length: 6186
Chromosome: PYGN01013785.1, Total Length: 4537
Chromosome: PYGN01021182.1, Total Length: 1182
Chromosome: PYGN01002026.1, Total Length: 116830
Chromosome: PYGN01008435.1, Total Length: 7482
Chromosome: PYGN01011507.1, Total Length: 6367
Chromosome: PYGN01002833.1, Total Length: 28255
Chromosome: PYGN01016688.1, Total Length: 3873
Chromosome: PYGN01009031.1, Total Length: 13772
Chromosome: PYGN01011863.1, Total Length: 7993
Chromosome: PYGN01006517.1, Total Length: 8819
Chromosome: PYGN01000908.1, Total Length: 824853
Chromosome: PYGN01009215.1, Total Length: 4606
Chromosome: PYGN01003171.1, Total Length: 15072
Chromosome: PYGN01017864.1, Total Length: 2692
Chromosome: PYGN01010579.1, Total Length: 10495
Chromosome: PYGN01001745.1, Total Length: 191017
Chromosome: PYGN01010984.1, Total Length: 9009
Chromosome: PYGN01011555.1, Total Length: 7622
Chromosome: PYGN01023031.1, Total Length: 1051
Chromosome: PYGN01021236.1, Total Length: 1474
Chromosome: PYGN01021529.1, Total Length: 1589
Chromosome: PYGN01007291.1, Total Length: 9334
Chromosome: PYGN01022093.1, Total Length: 1920
Chromosome: PYGN01000310.1, Total Length: 1090663
Chromosome: PYGN01017714.1, Total Length: 2946
Chromosome: PYGN01000438.1, Total Length: 794641
Chromosome: PYGN01012817.1, Total Length: 4166
Chromosome: PYGN01004914.1, Total Length: 14183
Chromosome: PYGN01019821.1, Total Length: 3000
Chromosome: PYGN01010565.1, Total Length: 6606
Chromosome: PYGN01003404.1, Total Length: 5160
Chromosome: PYGN01000896.1, Total Length: 295150
Chromosome: PYGN01007157.1, Total Length: 13839
Chromosome: PYGN01006798.1, Total Length: 6582
Chromosome: PYGN01009337.1, Total Length: 7645
Chromosome: PYGN01023059.1, Total Length: 1355
Chromosome: PYGN01021099.1, Total Length: 4597
Chromosome: PYGN01014841.1, Total Length: 3040
Chromosome: PYGN01006210.1, Total Length: 13203
Chromosome: PYGN01000395.1, Total Length: 998032
Chromosome: PYGN01021430.1, Total Length: 1500
Chromosome: PYGN01024467.1, Total Length: 1379
Chromosome: PYGN01011867.1, Total Length: 5728
Chromosome: PYGN01001490.1, Total Length: 439846
Chromosome: PYGN01012967.1, Total Length: 1140
Chromosome: PYGN01022910.1, Total Length: 5806
Chromosome: PYGN01024074.1, Total Length: 1043
Chromosome: PYGN01016306.1, Total Length: 4161
Chromosome: PYGN01008403.1, Total Length: 8737
Chromosome: PYGN01014700.1, Total Length: 3707
Chromosome: PYGN01001035.1, Total Length: 325167
Chromosome: PYGN01020989.1, Total Length: 1257
Chromosome: PYGN01003545.1, Total Length: 18333
Chromosome: PYGN01018666.1, Total Length: 7604
Chromosome: PYGN01007368.1, Total Length: 23573
Chromosome: PYGN01023535.1, Total Length: 3099
Chromosome: PYGN01006885.1, Total Length: 9373
Chromosome: PYGN01010769.1, Total Length: 6398
Chromosome: PYGN01024063.1, Total Length: 1140
Chromosome: PYGN01007115.1, Total Length: 9773
Chromosome: PYGN01011040.1, Total Length: 3701
Chromosome: PYGN01021147.1, Total Length: 978
Chromosome: PYGN01015701.1, Total Length: 4886
Chromosome: PYGN01006800.1, Total Length: 9054
Chromosome: PYGN01014023.1, Total Length: 4771
Chromosome: PYGN01018125.1, Total Length: 1247
Chromosome: PYGN01010859.1, Total Length: 4435
Chromosome: PYGN01023894.1, Total Length: 1168
Chromosome: PYGN01002596.1, Total Length: 42980
Chromosome: PYGN01005697.1, Total Length: 11831
Chromosome: PYGN01012425.1, Total Length: 3541
Chromosome: PYGN01021716.1, Total Length: 1697
Chromosome: PYGN01008934.1, Total Length: 5702
Chromosome: PYGN01003735.1, Total Length: 21734
Chromosome: PYGN01008198.1, Total Length: 4094
Chromosome: PYGN01019826.1, Total Length: 1130
Chromosome: PYGN01000321.1, Total Length: 1648987
Chromosome: PYGN01010458.1, Total Length: 6111
Chromosome: PYGN01018733.1, Total Length: 1236
Chromosome: PYGN01018511.1, Total Length: 1289
Chromosome: PYGN01022680.1, Total Length: 3077
Chromosome: PYGN01008049.1, Total Length: 7861
Chromosome: PYGN01008659.1, Total Length: 13399
Chromosome: PYGN01023385.1, Total Length: 5632
Chromosome: PYGN01018645.1, Total Length: 2127
Chromosome: PYGN01010521.1, Total Length: 6251
Chromosome: PYGN01004916.1, Total Length: 14773
Chromosome: PYGN01010570.1, Total Length: 5298
Chromosome: PYGN01014261.1, Total Length: 5052
Chromosome: PYGN01006441.1, Total Length: 8117
Chromosome: PYGN01008557.1, Total Length: 5795
Chromosome: PYGN01023421.1, Total Length: 2011
Chromosome: PYGN01020021.1, Total Length: 1248
Chromosome: PYGN01000605.1, Total Length: 541304
Chromosome: PYGN01007630.1, Total Length: 7117
Chromosome: PYGN01013360.1, Total Length: 5162
Chromosome: PYGN01006860.1, Total Length: 8924
Chromosome: PYGN01002573.1, Total Length: 58990
Chromosome: PYGN01011636.1, Total Length: 3661
Chromosome: PYGN01005589.1, Total Length: 13703
Chromosome: PYGN01006060.1, Total Length: 10704
Chromosome: PYGN01016635.1, Total Length: 7522
Chromosome: PYGN01015612.1, Total Length: 4521
Chromosome: PYGN01003896.1, Total Length: 17100
Chromosome: PYGN01008350.1, Total Length: 9772
Chromosome: PYGN01010698.1, Total Length: 5659
Chromosome: PYGN01022072.1, Total Length: 3146
Chromosome: PYGN01005774.1, Total Length: 8764
